business_type,industry,monthly_revenue,monthly_expenses,monthly_profit,marketing_budget,sales_channel,years_in_business,employee_count,customer_retention_rate,customer_acquisition_cost,location_type,competition_level,market_growth_rate,digital_presence_score,inventory_turnover_rate,operational_cost_ratio,average_order_value,customer_satisfaction_score,brand_strength_score,starting_budget,founder_experience_years,team_size,target_market_size,product_uniqueness_score,marketing_strategy_score,funding_type,business_model_type,scalability_score,innovation_score,customer_validation_score,future_6_month_profit
Services,Textile,39118,140551,-101433,2958,Offline,9,139,66,139,Rural,1,9,4,4.02,0.33,488,64,76,340628,3,39,399213,1,8,VC,B2C,4,6,2,-92602
Trading,IT,115495,92213,23282,5662,Offline,10,78,82,122,Rural,4,9,1,1.01,0.51,904,65,54,185555,16,17,224089,4,8,Bank Loan,B2B,8,9,3,26842
Manufacturing,Education,195721,111279,84442,11042,Online,2,198,90,45,Rural,5,2,9,1.95,0.47,691,65,75,419173,13,48,590951,8,5,Angel,B2C,4,5,9,96240
Manufacturing,Education,167097,126653,40444,21586,Online,14,147,54,63,Urban,8,11,9,2.38,0.38,1308,87,88,490952,17,45,667753,9,4,Bank Loan,B2B,8,3,2,53862
Trading,Food,94652,85507,9145,29858,Offline,13,20,89,36,Urban,6,10,9,1.83,0.32,1525,91,66,363913,10,3,947387,4,9,VC,B2C,7,9,9,15912
Services,FMCG,106616,60911,45705,14445,Both,11,78,88,155,Urban,1,13,5,4.19,0.38,1503,85,78,172775,6,40,504582,4,8,Bank Loan,B2B,6,8,7,50950
Trading,Construction,172656,139582,33074,16484,Online,9,93,71,32,Urban,9,14,8,5.7,0.57,330,98,83,182323,13,30,541177,9,3,Angel,B2C,5,5,7,47435
Manufacturing,Healthcare,21147,148919,-127772,29567,Offline,13,96,53,57,Urban,1,6,4,5.67,0.88,1176,90,80,289192,16,37,50094,9,5,VC,Hybrid,7,3,4,-112538
Manufacturing,Food,74376,100388,-26012,15771,Both,11,57,89,99,Rural,7,14,4,1.46,0.64,1750,87,66,316501,14,18,373557,5,5,Angel,B2C,9,3,1,-25252
Services,Education,108783,128823,-20040,17735,Online,12,105,60,129,Rural,8,11,2,2.38,0.41,1012,90,68,272763,5,13,714367,1,2,VC,B2B,2,9,7,-5251
Trading,Construction,158944,22839,136105,8859,Both,1,119,67,150,Rural,6,3,5,7.56,0.36,933,96,60,135623,1,27,589625,4,5,Bootstrapped,B2C,3,2,3,146757
Manufacturing,Healthcare,87294,53548,33746,10973,Online,7,122,88,82,Rural,7,14,6,6.08,0.45,615,66,89,421719,3,10,239234,7,4,Angel,B2C,5,3,2,40006
Services,Textile,195915,99967,95948,20390,Both,7,44,62,106,Urban,8,10,5,2.95,0.53,1558,81,74,113565,10,11,304279,6,5,VC,Hybrid,3,4,7,93537
Services,Textile,85106,68475,16631,27198,Both,2,58,56,189,Urban,5,8,9,1.07,0.65,878,94,76,176580,3,48,932352,2,8,Angel,B2C,7,3,4,34641
Manufacturing,Construction,161996,85178,76818,13155,Offline,8,189,58,103,Urban,9,7,7,7.31,0.66,319,71,73,492416,15,19,381974,3,5,Bank Loan,Hybrid,2,1,5,77014
Services,Food,113272,138518,-25246,17718,Offline,14,45,53,92,Urban,4,7,8,3.15,0.8,124,88,80,447036,3,29,120629,5,2,Bootstrapped,B2B,2,4,4,-22094
Trading,Textile,108478,48750,59728,16989,Offline,1,47,81,127,Urban,9,2,5,7.24,0.53,1587,95,85,166135,6,24,623642,9,3,Bank Loan,Hybrid,2,3,8,63651
Trading,Healthcare,174956,98620,76336,28039,Both,14,91,77,102,Rural,9,4,3,4.16,0.71,580,93,58,340804,17,42,30032,8,5,Angel,B2C,6,1,2,78375
Manufacturing,Food,153206,84828,68378,14108,Online,6,139,75,36,Urban,8,3,4,6.07,0.81,1978,91,61,125443,15,46,920219,8,6,Bank Loan,B2C,6,9,4,63404
Manufacturing,Textile,176456,148968,27488,21512,Offline,1,99,55,176,Urban,9,10,4,1.17,0.51,806,86,76,291544,17,47,704660,5,1,Angel,Hybrid,1,3,9,32850
Services,FMCG,168822,32445,136377,18691,Offline,3,9,77,115,Urban,7,7,6,1.51,0.36,1728,87,58,120886,18,11,103761,6,7,Bootstrapped,B2B,9,4,8,133684
Services,IT,67037,37985,29052,27166,Both,13,118,87,157,Rural,8,9,2,3.28,0.46,1635,64,92,210674,1,37,62338,2,6,Angel,Hybrid,7,7,8,47107
Services,IT,183596,142953,40643,14667,Both,10,129,87,22,Urban,6,10,1,3.64,0.62,1759,88,85,372501,18,29,912289,5,7,Bank Loan,B2C,7,9,3,58117
Trading,Textile,110123,30103,80020,15207,Offline,9,144,85,146,Urban,7,14,4,5.95,0.32,860,83,64,496428,1,30,349726,2,4,Angel,B2C,1,2,5,87282
Services,Healthcare,100391,135965,-35574,20549,Online,4,6,94,159,Rural,6,5,6,3.3,0.58,1636,81,73,359823,9,31,879013,4,3,Bank Loan,B2B,1,7,5,-23744
Trading,Food,41119,105211,-64092,17209,Online,13,76,69,83,Urban,8,4,1,6.95,0.31,1392,94,78,422279,5,4,603204,5,8,Bank Loan,B2C,9,6,3,-54782
Services,Healthcare,197041,82122,114919,15590,Offline,11,191,78,136,Urban,6,8,9,2.56,0.56,655,80,97,130227,1,28,244284,8,6,Bank Loan,B2C,8,3,8,117975
Manufacturing,IT,186455,30040,156415,27136,Both,3,119,86,84,Rural,7,3,1,3.66,0.8,1619,80,96,106221,6,4,17997,5,1,Bank Loan,Hybrid,6,9,7,157041
Trading,Construction,82426,25071,57355,10698,Both,5,179,58,110,Rural,7,8,1,6.17,0.74,1166,87,51,360369,6,4,350352,8,7,Bank Loan,B2B,4,1,2,58664
Manufacturing,IT,172568,146779,25789,19767,Online,4,27,64,150,Rural,5,5,6,2.85,0.64,457,88,86,413682,3,36,457955,2,4,VC,B2B,2,8,5,44631
Trading,Construction,167322,144459,22863,13285,Both,13,64,59,93,Urban,6,1,6,5.87,0.72,1165,69,90,233102,15,44,618412,7,2,Bootstrapped,B2C,2,2,9,34496
Manufacturing,Healthcare,70450,87723,-17273,12845,Offline,2,100,89,13,Urban,3,3,6,7.27,0.3,489,99,66,162489,5,20,979450,3,6,VC,B2C,8,2,9,-1934
Services,Education,28820,72232,-43412,15820,Both,11,127,54,48,Rural,7,4,5,1.01,0.51,1973,92,63,368021,11,47,650147,3,7,Bank Loan,Hybrid,8,4,6,-29655
Services,FMCG,85884,109426,-23542,3022,Online,2,90,58,20,Rural,6,6,2,3.96,0.76,599,69,79,492482,17,2,114894,1,1,VC,B2C,2,5,2,-12180
Trading,Construction,179475,109568,69907,10403,Both,9,184,80,69,Rural,5,4,8,2.64,0.35,503,93,77,312547,18,26,748970,8,9,Bank Loan,Hybrid,4,1,3,82124
Manufacturing,Textile,34262,108296,-74034,29928,Offline,8,185,61,20,Urban,9,4,9,4.99,0.43,1559,70,59,361888,13,17,726606,4,4,Bank Loan,B2B,1,5,9,-69200
Manufacturing,FMCG,169877,43855,126022,15123,Both,9,180,56,183,Urban,7,8,2,5.91,0.42,1099,60,66,185769,19,23,971638,2,6,Bootstrapped,Hybrid,5,6,1,125149
Manufacturing,IT,143613,52289,91324,5302,Both,9,61,92,196,Urban,3,2,6,3.68,0.36,1639,67,91,345676,3,14,317184,5,8,Bootstrapped,B2B,3,2,1,95163
Manufacturing,Education,105884,101531,4353,26762,Both,2,156,92,102,Urban,9,13,1,6.32,0.63,1533,87,56,447857,13,11,939135,9,8,VC,Hybrid,9,6,7,21496
Manufacturing,Textile,75189,143118,-67929,15155,Online,9,151,51,101,Urban,7,6,3,3.31,0.6,1887,73,50,487272,6,29,163233,1,2,Bootstrapped,Hybrid,8,5,7,-60495
Trading,Textile,51222,99303,-48081,12017,Both,7,9,83,159,Rural,4,7,2,1.83,0.7,617,88,82,281988,1,48,344906,6,7,Angel,B2C,6,9,3,-46934
Trading,FMCG,55031,47146,7885,9998,Online,12,65,72,135,Urban,5,12,1,1.15,0.37,673,86,64,222632,16,16,880375,3,2,Bank Loan,B2C,9,1,9,19551
Services,Construction,173814,38553,135261,15089,Offline,5,196,72,94,Rural,2,11,5,6.31,0.42,594,64,51,100837,6,45,23825,4,7,Angel,B2C,1,1,6,151394
Manufacturing,FMCG,178411,96950,81461,17770,Online,4,132,56,183,Urban,4,1,8,3.15,0.84,799,80,73,417110,19,32,472755,7,4,Bootstrapped,Hybrid,6,2,2,90742
Manufacturing,Healthcare,25634,131969,-106335,5682,Offline,12,49,53,40,Urban,6,1,6,5.82,0.49,1643,65,78,327106,14,35,745271,6,5,Bank Loan,B2C,4,1,9,-104513
Services,Education,133018,96523,36495,5699,Offline,13,143,86,59,Rural,7,3,8,2.74,0.48,1382,88,86,424984,16,47,132225,7,8,Bootstrapped,B2C,3,4,2,35912
Services,Healthcare,170025,19462,150563,24332,Online,7,10,60,197,Urban,3,11,7,4.63,0.88,112,99,70,400762,11,46,54866,6,8,Bank Loan,B2C,3,5,9,146451
Manufacturing,Healthcare,46269,94709,-48440,23118,Both,10,135,62,69,Rural,2,11,8,6.54,0.75,271,63,65,351746,10,49,752500,1,5,Bootstrapped,B2C,3,1,3,-38599
Services,Education,76228,22940,53288,11449,Online,12,165,70,77,Urban,3,8,4,1.06,0.48,409,85,73,276042,1,35,687563,1,5,Bootstrapped,B2B,5,3,9,66894
Services,Healthcare,84043,18525,65518,6777,Both,14,26,87,23,Urban,2,11,8,5.72,0.52,1910,98,52,326126,12,16,553924,6,8,Bootstrapped,Hybrid,3,2,8,80419
Manufacturing,Education,150448,76737,73711,10207,Online,5,56,85,116,Urban,7,1,9,6.8,0.55,1528,63,74,227850,1,40,614633,9,5,Bootstrapped,B2C,1,8,5,70903
Manufacturing,Food,59413,71822,-12409,10166,Both,13,98,56,120,Urban,1,7,3,7.06,0.49,810,66,63,126342,15,6,572276,4,4,Bank Loan,B2B,5,9,6,-14488
Services,Education,115847,105845,10002,19243,Offline,13,75,53,64,Rural,3,1,7,3.35,0.46,1293,93,62,426226,13,11,897517,3,4,Bank Loan,B2C,6,3,9,22237
Services,Healthcare,123798,83245,40553,18369,Offline,11,26,59,125,Urban,1,1,3,4.3,0.71,500,69,66,65979,10,11,34997,1,3,VC,B2B,2,4,2,48207
Manufacturing,IT,24570,66604,-42034,14845,Both,7,48,83,155,Urban,8,13,9,2.78,0.44,975,92,73,276697,9,11,486454,3,5,Bootstrapped,B2C,2,3,7,-28567
Manufacturing,Food,93920,40762,53158,15507,Online,3,26,55,61,Urban,9,11,6,7.87,0.78,221,69,83,182909,4,3,591252,3,6,VC,B2C,8,4,4,68811
Services,Education,185428,101501,83927,2245,Both,7,125,85,195,Urban,1,9,7,3.99,0.49,1610,77,82,485304,7,15,952777,1,4,Angel,B2C,5,5,5,91781
Services,Construction,84842,36219,48623,20356,Both,7,73,79,24,Rural,8,8,3,6.61,0.53,1505,64,85,458148,16,40,395602,6,9,VC,Hybrid,4,4,6,56181
Services,FMCG,69573,130298,-60725,11152,Both,3,92,57,127,Urban,7,2,9,3.61,0.55,1240,60,75,475395,16,13,697397,5,9,Angel,B2C,5,8,2,-57088
Trading,Healthcare,44466,85191,-40725,26134,Both,12,96,68,95,Rural,3,13,3,4.26,0.38,1183,79,86,422009,13,48,643163,1,4,Angel,B2C,1,7,7,-28119
Manufacturing,Healthcare,29486,29681,-195,24284,Both,6,17,69,19,Rural,2,12,4,1.09,0.64,1406,93,85,393741,16,22,80671,1,1,Bank Loan,B2B,6,5,4,16827
Manufacturing,FMCG,27232,130606,-103374,6835,Online,3,20,67,26,Urban,4,13,8,3.07,0.45,894,96,71,300951,3,39,265842,8,4,Bootstrapped,Hybrid,2,9,8,-93192
Trading,Construction,119662,76045,43617,10499,Online,4,165,80,162,Urban,8,7,6,5.99,0.34,1146,93,79,76350,10,2,223525,4,8,Bootstrapped,B2C,1,9,6,55690
Services,Food,24943,145257,-120314,23220,Online,7,27,91,100,Rural,7,12,2,3.16,0.47,417,77,76,66134,4,28,943705,9,9,Bootstrapped,B2B,3,3,9,-115022
Manufacturing,Construction,138780,62497,76283,27319,Online,1,42,56,151,Urban,8,12,2,2.76,0.71,1653,95,81,491307,6,33,107735,9,4,VC,Hybrid,1,5,5,89934
Manufacturing,Healthcare,104581,134156,-29575,14105,Offline,5,12,82,110,Urban,1,7,7,5.57,0.69,442,68,57,73103,8,4,780430,4,4,VC,B2B,1,6,2,-33958
Trading,Food,34974,61984,-27010,4368,Offline,1,161,75,38,Rural,1,12,3,6.99,0.64,1518,91,70,463285,2,41,456677,8,8,VC,B2C,1,7,2,-17885
Trading,Food,184718,43922,140796,20907,Online,2,27,86,198,Urban,9,5,8,2.61,0.5,570,85,88,126439,10,16,343779,6,9,Angel,Hybrid,3,2,5,147339
Trading,Food,139471,23102,116369,5844,Both,4,143,76,144,Urban,2,3,5,3.01,0.69,1135,98,76,357957,13,34,374750,5,1,Bank Loan,B2C,7,4,5,124123
Trading,Healthcare,108688,90127,18561,5411,Both,3,69,53,12,Rural,8,9,5,1.83,0.6,129,66,71,75180,14,36,149994,1,2,VC,Hybrid,3,2,6,23303
Services,Healthcare,33916,57941,-24025,6004,Both,7,90,61,145,Rural,9,2,2,2.54,0.4,1522,89,80,307656,6,13,274278,7,8,Angel,Hybrid,4,3,3,-9341
Trading,FMCG,105609,52723,52886,25756,Online,3,172,67,40,Urban,5,5,7,5.08,0.78,1076,78,53,141509,7,39,785533,6,3,Angel,Hybrid,4,6,7,56284
Trading,Textile,195765,92478,103287,14250,Offline,1,111,78,133,Rural,9,10,9,3.66,0.55,1978,95,63,347956,17,28,860315,6,7,Angel,Hybrid,3,2,7,112299
Manufacturing,Healthcare,172991,90234,82757,3630,Online,5,184,91,138,Rural,7,12,6,3.3,0.51,237,85,81,103883,10,28,887501,8,7,VC,Hybrid,2,1,6,92240
Services,Textile,197562,68255,129307,6176,Both,10,61,56,35,Rural,2,6,5,4.76,0.32,991,94,79,190248,3,33,982538,8,3,Bank Loan,B2C,2,7,3,134721
Manufacturing,Healthcare,112348,15946,96402,10327,Offline,2,29,93,92,Urban,2,13,7,5.41,0.72,1163,82,54,392305,10,28,864582,4,4,Bootstrapped,B2B,8,6,9,95432
Services,Textile,145338,86214,59124,21572,Offline,6,172,69,164,Urban,7,11,7,5.66,0.69,1221,88,93,345282,5,28,539547,1,5,Bank Loan,B2B,2,4,6,71389
Services,Textile,184255,46048,138207,23642,Online,12,198,70,104,Rural,9,4,1,3.07,0.71,1707,96,54,103445,16,2,317336,5,7,Bank Loan,Hybrid,8,5,3,136544
Services,IT,79557,25669,53888,20552,Both,14,79,53,196,Rural,2,9,4,2.89,0.7,1653,71,72,436712,5,5,141916,2,7,Angel,B2C,6,7,8,60331
Trading,Education,24776,76001,-51225,26090,Both,5,47,78,80,Rural,5,7,2,2.61,0.61,336,72,86,406509,12,2,881697,5,5,VC,B2C,6,8,1,-37501
Services,IT,99721,48971,50750,8798,Offline,13,160,66,135,Urban,9,8,5,7.36,0.86,903,84,56,115555,3,11,391666,1,5,Angel,B2C,8,6,8,52369
Manufacturing,Healthcare,164097,75675,88422,18580,Online,11,17,89,158,Rural,5,6,7,3.2,0.8,426,97,80,71603,14,44,983657,2,9,Bank Loan,B2C,5,5,3,97080
Manufacturing,FMCG,64380,114760,-50380,26692,Online,3,131,76,91,Rural,9,13,6,6.89,0.55,716,74,50,55694,18,48,881431,1,3,Bootstrapped,B2B,7,8,5,-53785
Services,Healthcare,128893,54854,74039,2312,Online,13,159,75,166,Rural,1,3,9,1.19,0.9,1488,88,94,274877,15,32,29841,6,9,Bank Loan,B2C,4,2,3,81345
Manufacturing,FMCG,46870,60876,-14006,16407,Both,8,43,92,150,Urban,8,9,5,4.14,0.87,1022,83,98,432997,14,46,14999,3,1,Bootstrapped,B2C,3,5,8,4895
Manufacturing,Healthcare,48008,127171,-79163,23855,Offline,4,143,86,124,Urban,5,2,6,6.8,0.45,1920,68,56,284597,10,33,178452,1,9,Bootstrapped,Hybrid,5,4,6,-80795
Trading,FMCG,47492,20233,27259,13447,Both,5,38,89,159,Urban,4,8,3,3.03,0.46,1473,71,64,105859,9,3,513808,7,8,Bank Loan,Hybrid,3,2,4,44278
Trading,Healthcare,167793,108193,59600,4392,Both,2,119,55,23,Rural,5,8,8,4.2,0.72,849,76,83,93117,12,17,638991,6,6,Angel,B2B,2,7,2,58012
Manufacturing,Food,39318,33695,5623,17168,Offline,9,172,90,14,Rural,4,1,9,5.54,0.88,1287,61,94,190035,18,25,971775,7,2,VC,Hybrid,2,2,1,19802
Services,Food,31020,70994,-39974,10533,Online,11,74,52,119,Rural,9,6,1,7.38,0.84,456,94,72,283094,18,11,670441,7,3,Angel,B2C,7,1,2,-29630
Trading,Food,25339,74487,-49148,6302,Online,2,86,56,38,Rural,2,14,4,4.27,0.86,469,64,64,318889,19,21,677242,9,5,Angel,B2C,6,2,9,-35048
Trading,IT,106759,35342,71417,11876,Offline,5,141,60,114,Urban,1,10,8,7.1,0.52,1992,63,63,138093,7,13,979367,7,6,Bootstrapped,Hybrid,7,4,1,87465
Trading,Textile,65380,118721,-53341,8324,Offline,2,126,54,19,Urban,3,13,2,3.07,0.72,1185,87,86,432230,11,24,377650,9,7,Bootstrapped,B2C,7,2,3,-42208
Services,Education,173026,91003,82023,23717,Offline,8,156,86,21,Rural,4,4,4,1.53,0.36,649,96,77,77338,14,12,512911,9,8,Bank Loan,B2B,6,9,5,98047
Manufacturing,Food,72137,60054,12083,26787,Offline,14,136,73,105,Rural,7,5,6,2.4,0.83,117,84,56,199175,15,19,764542,2,3,Angel,B2B,1,1,7,8650
Trading,FMCG,169065,73219,95846,7109,Offline,7,149,63,26,Urban,9,5,7,5.22,0.88,1373,85,81,65431,13,49,446395,1,2,Bank Loan,B2B,8,2,9,97560
Trading,Education,158882,66042,92840,14650,Online,8,72,69,24,Urban,5,7,8,2.07,0.66,132,96,81,316794,4,35,55360,9,2,Angel,Hybrid,9,6,6,95720
Trading,Food,40881,48557,-7676,14558,Offline,7,145,91,173,Rural,9,5,3,3.93,0.7,594,79,90,170423,6,24,755129,8,4,Bootstrapped,Hybrid,1,5,1,-8482
Manufacturing,IT,23779,86190,-62411,27456,Both,9,166,70,159,Urban,1,14,2,6.07,0.66,1649,89,93,359421,14,45,175800,9,2,Angel,B2B,2,5,7,-55037
Manufacturing,Healthcare,23917,94742,-70825,13822,Offline,3,120,68,88,Rural,3,8,7,5.32,0.52,781,61,60,297192,19,10,277944,6,6,VC,Hybrid,8,8,6,-63205
Services,Construction,155891,71784,84107,23639,Offline,12,92,80,32,Rural,1,2,8,1.87,0.74,1120,79,65,205597,3,31,405793,6,4,Angel,Hybrid,3,3,3,82342
Trading,Food,97383,102288,-4905,12084,Online,1,14,70,114,Rural,8,7,2,3.44,0.45,577,84,63,120423,11,32,90383,5,7,Bootstrapped,B2B,9,3,4,6535
Services,Education,72513,86640,-14127,22693,Online,5,187,67,126,Urban,7,11,7,3.32,0.7,698,92,50,301987,5,30,349609,3,6,VC,Hybrid,3,5,1,-17985
Manufacturing,Healthcare,90050,127726,-37676,17540,Offline,7,177,51,93,Urban,5,12,9,3.21,0.7,1148,60,88,257923,12,41,527863,8,6,Bank Loan,Hybrid,9,4,5,-17842
Manufacturing,Food,161140,133785,27355,11321,Both,8,13,88,167,Urban,6,2,9,7.83,0.49,1763,64,55,248857,11,3,229885,4,5,VC,B2C,3,5,4,32039
Services,Education,98331,141685,-43354,17653,Offline,2,199,91,112,Urban,9,2,7,3.04,0.44,907,95,99,418754,8,39,893876,5,1,Bootstrapped,B2B,6,9,8,-33913
Services,Education,106091,41025,65066,3568,Online,11,97,87,47,Urban,9,6,8,6.47,0.44,1219,69,81,117050,4,30,50492,8,4,Bank Loan,B2C,7,1,9,72640
Services,Construction,79289,19808,59481,8733,Online,14,48,80,163,Urban,7,1,3,3.07,0.37,1961,94,65,386542,18,15,209192,4,5,Bank Loan,B2B,9,5,7,63314
Manufacturing,Construction,76209,88905,-12696,28935,Online,2,158,72,41,Rural,1,9,6,6.78,0.36,1137,73,61,421012,5,5,150854,9,4,VC,B2C,2,2,2,-9229
Trading,FMCG,154979,88221,66758,13898,Both,7,109,83,63,Urban,8,2,1,4.14,0.82,1954,91,51,361919,4,46,717984,7,2,Bootstrapped,B2C,4,2,1,70031
Services,Textile,120502,32285,88217,16593,Offline,14,120,61,36,Urban,3,12,3,6.79,0.82,1364,66,86,160962,19,42,498784,9,5,Bootstrapped,B2C,6,2,8,105504
Trading,Construction,188398,113226,75172,23302,Online,12,5,92,196,Urban,9,7,2,6.62,0.54,1425,61,68,260530,8,49,63269,4,8,Bootstrapped,Hybrid,1,4,7,82940
Manufacturing,Food,73976,140468,-66492,17235,Online,4,182,88,172,Rural,9,5,8,1.75,0.3,685,75,97,457107,5,43,487293,9,2,Bootstrapped,B2B,4,6,5,-61427
Manufacturing,Education,187184,35840,151344,20242,Online,4,104,75,171,Rural,4,1,3,7.17,0.42,1432,63,67,463987,3,31,765573,2,5,Bootstrapped,B2B,4,5,9,147552
Services,Textile,53077,90226,-37149,8568,Offline,14,153,83,34,Rural,2,13,5,5.63,0.31,1531,90,68,214298,5,19,680658,8,5,Bank Loan,Hybrid,3,5,9,-31063
Manufacturing,IT,82015,65094,16921,22278,Both,8,116,54,100,Rural,6,13,3,1.93,0.84,1210,89,95,408585,5,38,703763,9,6,Bootstrapped,B2C,8,8,5,28650
Manufacturing,Construction,54607,59312,-4705,11575,Offline,3,155,78,178,Urban,5,11,8,1.19,0.88,1508,67,97,420209,16,28,924883,3,9,Bootstrapped,B2B,3,8,7,-1704
Manufacturing,Construction,157248,63263,93985,24103,Offline,10,158,66,100,Rural,7,13,9,6.58,0.7,1435,87,94,276468,8,16,148741,4,1,Angel,B2B,6,8,3,98097
Trading,Healthcare,164331,50931,113400,13624,Offline,1,28,94,198,Rural,3,5,1,3.03,0.34,1718,89,99,140075,5,27,79309,3,2,Bank Loan,B2B,6,6,3,117494
Manufacturing,Textile,55742,39860,15882,24032,Offline,3,49,72,155,Urban,4,4,8,1.17,0.49,1727,94,70,126805,7,30,316996,7,4,VC,Hybrid,5,6,9,26785
Trading,Textile,91007,65421,25586,15997,Offline,11,117,77,80,Urban,3,6,2,6.1,0.84,1034,60,83,321592,18,21,960481,2,8,Bank Loan,B2C,5,8,2,28723
Manufacturing,IT,20177,127490,-107313,26874,Online,10,12,57,28,Rural,1,7,4,7.53,0.54,1939,75,79,426816,16,42,286981,3,1,VC,Hybrid,9,2,6,-102087
Manufacturing,Education,22469,64067,-41598,17786,Online,6,82,67,89,Urban,8,13,1,5.07,0.8,1500,72,62,253080,6,7,531848,5,9,Bank Loan,B2B,5,4,2,-45124
Services,Education,114142,81748,32394,14607,Offline,3,149,79,180,Rural,7,9,7,3.55,0.32,727,76,81,396136,19,31,778304,9,5,Bootstrapped,B2C,9,3,6,30162
Manufacturing,Healthcare,96682,73475,23207,6635,Online,7,158,55,169,Rural,6,13,7,7.33,0.75,442,76,94,444607,1,8,550940,5,1,Angel,B2C,1,2,9,23657
Manufacturing,Textile,165506,42973,122533,24169,Offline,6,43,76,49,Rural,3,8,6,5.23,0.54,467,97,92,393996,8,30,472294,7,3,Angel,B2B,3,5,5,130265
Trading,Construction,32876,71680,-38804,10756,Online,12,50,86,47,Rural,8,6,6,7.92,0.73,1875,85,75,197467,18,10,332754,2,8,VC,B2C,4,2,4,-28707
Trading,Food,117318,36823,80495,9008,Both,13,48,82,11,Urban,3,4,7,7.58,0.54,1490,75,89,318311,8,29,747853,9,7,Bank Loan,Hybrid,6,7,7,89677
Services,Construction,106258,62445,43813,5930,Offline,9,101,94,169,Rural,7,1,4,6.62,0.37,1816,70,58,437229,7,10,127221,3,1,Bank Loan,Hybrid,9,7,3,63218
Services,Textile,41993,57639,-15646,11906,Both,13,178,56,43,Urban,7,7,1,7.92,0.31,1224,89,53,200621,3,15,878618,8,7,Bootstrapped,Hybrid,9,3,1,3516
Manufacturing,Textile,172392,82963,89429,5215,Online,14,76,59,170,Rural,6,9,3,4.88,0.79,1825,70,63,110390,12,21,875747,7,5,Bank Loan,Hybrid,1,2,6,92493
Manufacturing,Healthcare,49580,86614,-37034,10366,Offline,13,198,69,89,Rural,5,2,1,1.93,0.38,1225,60,58,345060,18,44,273277,2,4,Angel,B2C,2,4,6,-38711
Manufacturing,IT,187046,147181,39865,26802,Both,4,128,69,44,Urban,1,3,5,1.49,0.62,1631,89,78,278899,17,43,424748,7,9,Bank Loan,B2B,6,6,9,45034
Services,Construction,102867,141292,-38425,19149,Both,12,148,54,161,Rural,1,10,3,2.96,0.63,620,61,93,101933,16,49,356676,1,6,Angel,B2B,9,9,1,-32941
Trading,Textile,173779,27854,145925,5681,Both,14,172,74,159,Urban,6,9,5,6.08,0.47,1007,81,55,239923,15,16,704079,9,1,VC,B2C,3,9,5,145711
Services,IT,37909,49184,-11275,29641,Offline,1,175,94,149,Urban,5,7,2,1.5,0.67,1447,76,99,463136,19,5,35692,1,6,Angel,B2B,2,5,8,-14481
Manufacturing,Food,143411,59036,84375,22619,Online,12,102,55,28,Rural,9,13,1,2.79,0.32,327,85,94,270615,1,4,424528,2,4,Angel,B2B,3,6,5,89511
Services,Healthcare,160948,33537,127411,24422,Offline,9,103,67,26,Urban,6,13,4,1.63,0.48,1605,77,76,379027,17,7,820985,5,9,Bootstrapped,Hybrid,2,9,9,135313
Services,Textile,174831,129147,45684,21063,Both,14,76,50,153,Rural,1,10,6,7.32,0.48,1900,64,89,104967,5,48,767191,5,5,Bootstrapped,B2C,4,1,9,58176
Services,Textile,34433,51245,-16812,19386,Both,1,75,72,120,Urban,6,4,3,2.22,0.69,1301,90,60,170003,2,17,348526,9,7,Bank Loan,Hybrid,8,8,2,-14688
Manufacturing,Healthcare,199086,117660,81426,9605,Both,13,105,68,55,Rural,8,14,6,5.51,0.48,1654,76,73,352838,10,38,484773,7,3,Angel,Hybrid,4,1,7,82450
Manufacturing,FMCG,129433,27099,102334,15578,Online,2,68,56,94,Urban,9,3,9,4.56,0.36,1524,92,65,214238,13,40,464146,8,7,VC,B2B,7,1,1,113189
Manufacturing,Education,71771,50229,21542,20490,Online,5,68,79,27,Urban,5,5,8,6.38,0.89,496,77,53,204737,15,8,708828,2,9,Angel,B2C,5,1,3,41519
Services,IT,164466,115159,49307,21813,Offline,10,161,80,84,Rural,7,14,9,4.36,0.61,1246,92,86,357513,6,39,795956,6,9,Bank Loan,B2B,1,1,9,60626
Manufacturing,Education,68461,48142,20319,5045,Online,9,22,64,141,Urban,2,14,6,5.48,0.7,378,79,96,341767,2,22,553819,9,1,VC,B2B,2,8,5,26880
Manufacturing,Food,25307,120100,-94793,21902,Online,12,13,89,85,Urban,9,14,6,2.37,0.86,1279,88,85,78298,6,27,998049,4,9,Angel,Hybrid,7,9,6,-90666
Manufacturing,FMCG,132618,79237,53381,26687,Online,4,141,79,53,Urban,8,3,3,4.37,0.75,329,70,69,465213,2,13,322751,3,5,VC,Hybrid,4,5,1,59576
Services,Construction,196947,80116,116831,10047,Offline,7,174,74,89,Rural,1,12,7,1.81,0.73,1252,62,97,231271,15,5,123195,1,1,Bank Loan,B2B,8,8,4,121864
Trading,IT,167998,48683,119315,13274,Offline,2,160,87,33,Rural,7,7,3,5.61,0.43,1634,95,66,162880,4,38,917232,3,6,Angel,B2B,7,1,8,132500
Manufacturing,Healthcare,159875,67572,92303,17290,Both,11,122,67,12,Urban,2,10,7,3.59,0.42,919,99,92,76690,7,48,966617,3,3,Bank Loan,B2B,5,5,5,108895
Trading,IT,162248,119245,43003,3146,Both,7,44,90,79,Rural,8,2,8,1.41,0.4,427,94,76,175272,3,22,393352,7,2,VC,B2B,5,5,9,62733
